Time	V(t)	I(t)
1.41E-07	2.46E-02	-8.38E-02
1.42E-07	3.22E-02	-8.34E-02
1.42E-07	3.68E-02	-8.70E-02
1.42E-07	4.79E-02	-8.38E-02
1.43E-07	4.45E-02	-8.52E-02
1.43E-07	6.56E-02	-8.47E-02
1.44E-07	7.57E-02	-8.33E-02
1.44E-07	7.28E-02	-8.81E-02
1.44E-07	1.01E-01	-8.48E-02
1.45E-07	1.00E-01	-8.61E-02
1.45E-07	1.12E-01	-8.72E-02
1.46E-07	1.20E-01	-9.01E-02
1.46E-07	1.20E-01	-8.61E-02
1.46E-07	1.31E-01	-8.70E-02
1.47E-07	1.36E-01	-8.60E-02
1.47E-07	1.20E-01	-8.69E-02
1.48E-07	1.16E-01	-9.00E-02
1.48E-07	1.16E-01	-9.00E-02
1.48E-07	1.16E-01	-8.90E-02
1.49E-07	1.04E-01	-9.00E-02
1.49E-07	1.12E-01	-8.80E-02
1.50E-07	9.20E-02	-9.10E-02
1.50E-07	8.41E-02	-9.00E-02
1.50E-07	6.79E-02	-9.00E-02
1.51E-07	5.60E-02	-9.10E-02
1.51E-07	6.40E-02	-9.10E-02
1.52E-07	5.18E-02	-9.00E-02
1.52E-07	4.38E-02	-9.40E-02
1.52E-07	3.16E-02	-9.50E-02
1.53E-07	2.79E-02	-9.40E-02
1.53E-07	2.37E-02	-9.50E-02
1.54E-07	1.60E-02	-9.20E-02
1.54E-07	2.00E-02	-9.28E-02
1.54E-07	1.19E-02	-9.60E-02
1.55E-07	8.00E-03	-9.20E-02
1.55E-07	1.60E-02	-9.59E-02
1.56E-07	7.91E-03	-9.52E-02
1.56E-07	1.21E-02	-9.30E-02
1.56E-07	2.40E-02	-9.40E-02
1.57E-07	1.61E-02	-9.20E-02
1.57E-07	2.73E-02	-9.49E-02
1.58E-07	4.38E-02	-9.42E-02
1.58E-07	4.82E-02	-9.11E-02
1.58E-07	4.35E-02	-9.18E-02
1.59E-07	5.84E-02	-9.49E-02
1.59E-07	6.74E-02	-9.42E-02
1.60E-07	7.23E-02	-9.20E-02
1.60E-07	7.10E-02	-9.40E-02
1.60E-07	9.13E-02	-9.30E-02
1.61E-07	8.09E-02	-9.60E-02
1.61E-07	6.80E-02	-9.31E-02
1.62E-07	7.19E-02	-9.30E-02
1.62E-07	6.80E-02	-9.20E-02
1.62E-07	6.40E-02	-9.39E-02
1.63E-07	6.00E-02	-9.50E-02
1.63E-07	6.41E-02	-9.30E-02
1.64E-07	5.98E-02	-9.30E-02
1.64E-07	4.38E-02	-9.60E-02
1.64E-07	4.78E-02	-9.40E-02
1.65E-07	3.09E-02	-9.50E-02
1.65E-07	2.00E-02	-9.80E-02
1.66E-07	2.42E-02	-9.50E-02
1.66E-07	2.40E-02	-9.50E-02
1.66E-07	1.88E-02	-9.40E-02
1.67E-07	4.09E-03	-9.50E-02
1.67E-07	2.07E-02	-9.60E-02
1.68E-07	1.56E-02	-9.50E-02
1.68E-07	3.66E-03	-9.30E-02
1.68E-07	9.38E-05	-9.30E-02
1.69E-07	8.06E-03	-9.40E-02
1.69E-07	8.00E-03	-9.40E-02
1.70E-07	1.20E-02	-9.40E-02
1.70E-07	8.34E-03	-9.48E-02
1.70E-07	3.13E-05	-9.71E-02
1.71E-07	1.09E-02	-9.41E-02
1.71E-07	2.40E-02	-9.59E-02
1.72E-07	1.62E-02	-9.41E-02
1.72E-07	1.98E-02	-9.49E-02
1.72E-07	1.98E-02	-9.60E-02
1.73E-07	2.79E-02	-9.80E-02
1.73E-07	2.40E-02	-9.70E-02
1.74E-07	3.19E-02	-9.80E-02
1.74E-07	3.61E-02	-9.80E-02
1.74E-07	4.79E-02	-9.69E-02
1.75E-07	3.20E-02	-9.40E-02
1.75E-07	4.79E-02	-9.60E-02
1.76E-07	4.79E-02	-9.40E-02
1.76E-07	4.80E-02	-9.50E-02
1.76E-07	5.20E-02	-9.40E-02
1.77E-07	5.20E-02	-9.51E-02
1.77E-07	5.63E-02	-9.60E-02
1.78E-07	6.37E-02	-9.47E-02
1.78E-07	5.20E-02	-9.33E-02
1.78E-07	6.82E-02	-9.71E-02
1.79E-07	5.18E-02	-9.36E-02
1.79E-07	2.79E-02	-9.33E-02
1.80E-07	3.62E-02	-9.83E-02
