time v(/en) v(/clk) v(/rstb) v(/serial_out) v(/net97) v(/en_out)
0.000150301450484539 2.49999999998302 0.992747577651703 2.50000000057228 1.18928638728559 0.00802094408817471 0.00799615201171596
0.000150301465074075 2.49999999998468 0.992674629997502 2.50000000039441 1.18929470795576 0.00802441720307846 0.00800368216689984
0.000150301474128796 2.49999999996298 0.992629356311366 2.49999999990834 1.18928961526958 0.007985450818709 0.00800473904692648
0.000150301485612558 2.49999999995491 0.992571937342465 2.49999999840044 1.18921960287559 0.007631880683532 0.00798792064219387
0.000150301494369582 2.49999999996964 0.992528152249022 2.49999999839859 1.18914315494355 0.00725670040777487 0.00797558317089166
0.000150301507248196 2.49999999995908 0.992463759334515 2.49999999933421 1.18908832743446 0.00694863575895969 0.00799730105829056
0.000150301517253786 2.49999999996917 0.992413731537036 2.49999999949121 1.18911586998523 0.00692546294462473 0.00805041663916511
0.000150301529445934 2.49999999995213 0.992352770870433 2.49999999978441 1.18921515974286 0.00703419893862478 0.00813508947524474
0.000150301544259569 2.49999999995178 0.992278702727897 2.49999999953045 1.18937911026989 0.00720491529505994 0.00822699359873541
0.000150301567490642 2.49999999990736 0.992162547156073 2.49999999945438 1.18956340969213 0.00731072895988046 0.0082627597860211
0.000150301594846551 2.49999999988067 0.99202576741001 2.4999999990628 1.18954305436005 0.00715657426458381 0.00813794596504573
0.000150301623088939 2.49999999982823 0.991884555461619 2.4999999992522 1.18938129238095 0.00694718027942992 0.00796947452809803
0.000150301651410908 2.49999999970719 0.991742945738105 2.49999999929332 1.1892824905748 0.00687866853650974 0.00788890135882161
0.000150301696522525 2.4999999995243 0.991517387773047 2.499999999517 1.18936672453286 0.00687960096558664 0.00788111930311918
0.000150301732180467 2.49999999961612 0.991339097970516 2.49999999939288 1.18942244642318 0.00673174423097497 0.0078177346122281
0.000150301777264363 2.49999999977125 0.991113678441765 2.49999999966922 1.18928219656329 0.00644740746211858 0.00764858248047648
0.000150301821975407 2.49999999987645 0.990890123371289 2.49999999977389 1.18918056236747 0.00638583305088748 0.00758488091461639
0.000150301871670956 2.49999999994846 0.990641645677781 2.49999999992926 1.18926216392041 0.00646487768295912 0.00762134683356011
0.000150301920456418 2.49999999995058 0.990397718301582 2.4999999997332 1.18930080105948 0.00644581322600056 0.00758156949032883
0.00015030197610628 2.49999999998277 0.99011946899449 2.49999999989879 1.18921805690328 0.00647352150519387 0.00747974747396751
0.000150302033408401 2.4999999999779 0.989832958498741 2.49999999986087 1.18922535774106 0.00672986373060852 0.00744630926137754
0.00015030213191836 2.49999999999346 0.989340408647054 2.49999999992109 1.18926171454698 0.00720656342288024 0.00732741547755624
0.00015030220519179 2.49999999997968 0.988974041519414 2.4999999998864 1.18916828980473 0.00753489397960511 0.00717801025062594
0.000150302296868091 2.50000000000216 0.988515660056627 2.50000000006892 1.18916392813952 0.00794625902223126 0.00708929202733076
0.000150302411014123 2.49999999998489 0.987944929831704 2.4999999999734 1.18914929066993 0.00790812369068652 0.00695294867000384
0.000150302513937836 2.50000000001573 0.987430311275457 2.50000000013543 1.1890775820493 0.00757420405639199 0.00684268606418376
