Time	2kV
-22.6E-9	0.0382178
-22.5E-9	0.0944969
-22.4E-9	-0.31016
-22.3E-9	-0.329495
-22.2E-9	-0.0232403
-22.1E-9	-0.0415396
-22.0E-9	-0.155134
-21.9E-9	-0.166182
-21.8E-9	-0.0460281
-21.7E-9	-0.201054
-21.6E-9	-0.390263
-21.5E-9	0.0185374
-21.4E-9	0.0748165
-21.3E-9	0.0133584
-21.2E-9	-0.289098
-21.1E-9	-0.165492
-21.0E-9	0.0465043
-20.9E-9	0.0219901
-20.8E-9	0.0226807
-20.7E-9	0.0313124
-20.6E-9	0.0592793
-20.5E-9	-0.0429207
-20.4E-9	-0.27805
-20.3E-9	0.00921513
-20.2E-9	0.0903536
-20.1E-9	-0.00735785
-20.0E-9	0.095878
-19.9E-9	0.0616962
-19.8E-9	-0.0698518
-19.7E-9	0.118666
-19.6E-9	-0.270454
-19.5E-9	-0.117154
-19.4E-9	-0.0601842
-19.3E-9	-0.237308
-19.2E-9	0.0734354
-19.1E-9	0.190827
-19.0E-9	-0.0826268
-18.9E-9	0.04098
-18.8E-9	0.132822
-18.7E-9	-0.2525
-18.6E-9	0.0368367
-18.5E-9	0.0230259
-18.4E-9	-0.00183352
-18.3E-9	0.138346
-18.2E-9	-0.397513
-18.1E-9	-0.106105
-18.0E-9	-0.0498261
-17.9E-9	0.0696374
-17.8E-9	-0.0405038
-17.7E-9	-0.185517
-17.6E-9	-0.0170254
-17.5E-9	-0.103343
-17.4E-9	0.049957
-17.3E-9	0.0223354
-17.2E-9	0.0295861
-17.1E-9	0.210162
-17.0E-9	-0.237998
-16.9E-9	-0.0584579
-16.8E-9	0.115213
-16.7E-9	-0.0135727
-16.6E-9	0.0969138
-16.5E-9	-0.102307
-16.4E-9	-0.159277
-16.3E-9	0.0893178
-16.2E-9	-0.022895
-16.1E-9	0.0948422
-16.0E-9	0.088282
-15.9E-9	-0.157205
-15.8E-9	0.000583369
-15.7E-9	-0.108177
-15.6E-9	-0.127167
-15.5E-9	-0.00114298
-15.4E-9	-0.167563
-15.3E-9	0.0237165
-15.2E-9	-0.182755
-15.1E-9	-0.301873
-15.0E-9	-0.0208234
-14.9E-9	-0.0380869
-14.8E-9	-0.160658
-14.7E-9	0.0202638
-14.6E-9	-0.173088
-14.5E-9	-0.168254
-14.4E-9	-0.0173707
-14.3E-9	-0.125095
-14.2E-9	-0.0750308
-14.1E-9	-0.145121
-14.0E-9	-0.154443
-13.9E-9	-0.108522
-13.8E-9	0.112106
-13.7E-9	0.0340746
-13.6E-9	0.108308
-13.5E-9	0.0364915
-13.4E-9	-0.196221
-13.3E-9	-0.0277288
-13.2E-9	-0.0360153
-13.1E-9	-0.127857
-13.0E-9	0.107962
-12.9E-9	-0.0708876
-12.8E-9	-0.289789
-12.7E-9	-0.0909133
-12.6E-9	-0.0121916
-12.5E-9	-0.013918
-12.4E-9	-0.0339437
-12.3E-9	-0.118535
-12.2E-9	-0.232129
-12.1E-9	-0.0729592
-12.0E-9	-0.0881511
-11.9E-9	-0.00942947
-11.8E-9	0.175635
-11.7E-9	0.154574
-11.6E-9	0.146978
-11.5E-9	0.203602
-11.4E-9	-0.0753761
-11.3E-9	-0.103343
-11.2E-9	0.151121
-11.1E-9	-0.0415396
-11.0E-9	-0.0294551
-10.9E-9	-0.0836626
-10.8E-9	-0.321899
-10.7E-9	-0.0308362
-10.6E-9	0.0240617
-10.5E-9	-0.148919
-10.4E-9	-0.031872
-10.3E-9	-0.219699
-10.2E-9	-0.01012
-10.1E-9	0.100021
