time v(/Ch1)
2.53570938983351e-07 -0.450729498221858
2.53650938983351e-07 -0.450665373667718
2.53730938983351e-07 -0.450598378186962
2.53810938983351e-07 -0.45051853119857
2.53890938983351e-07 -0.450426581435171
2.53970938983351e-07 -0.450323910515521
2.54050938983351e-07 -0.450214068902254
2.54130938983351e-07 -0.450100430540694
2.54210938983351e-07 -0.449983356353965
2.54290938983351e-07 -0.44986002592359
2.54370938983351e-07 -0.449721999349045
2.54450938983351e-07 -0.449565200405898
2.54850938983351e-07 -0.448785151993664
2.54930938983351e-07 -0.448632485151532
2.55010938983351e-07 -0.44848309548441
2.55090938983351e-07 -0.44833633759937
2.55170938983351e-07 -0.448202684610927
2.55250938983351e-07 -0.448071616403758
2.55330938983351e-07 -0.447921378894599
2.55410938983351e-07 -0.447673244183902
2.55490938983351e-07 -0.447447912898683
2.55890938983351e-07 -0.446398467772334
2.55970938983351e-07 -0.44618425943976
2.56050938983351e-07 -0.445960080873905
2.56130938983351e-07 -0.445740604658165
2.56210938983351e-07 -0.445519590086072
2.56290938983351e-07 -0.445294844565577
2.56370938983351e-07 -0.445063604446722
2.56450938983351e-07 -0.444821584779684
2.56530938983351e-07 -0.444554293340623
2.56930938983351e-07 -0.443184930426193
2.58930938983351e-07 -0.436658578182661
2.59010938983351e-07 -0.436398085861423
2.59030938983351e-07 -0.436332962781113
2.59080938983351e-07 -0.436172245254532
2.59160938983351e-07 -0.435912375900887
2.59240938983351e-07 -0.435799642831704
2.59320938983351e-07 -0.435698252911144
2.59400938983351e-07 -0.435547288904871
2.59480938983351e-07 -0.435384576848082
2.59560938983351e-07 -0.435232441198417
2.59960938983351e-07 -0.434510327822763
2.60014807801471e-07 -0.434412960444099
2.60017807289614e-07 -0.434407538897683
2.60020909792894e-07 -0.434401931152382
2.60023947362712e-07 -0.434396440773699
2.60027057939266e-07 -0.434390818436033
2.60027329267572e-07 -0.434390328012689
2.60028685909103e-07 -0.434387875895967
2.60030257349556e-07 -0.434385035532229
2.60033117747465e-07 -0.434379865390093
2.60047419737011e-07 -0.434354014679415
2.60118929684743e-07 -0.43422955201563
2.60476479423402e-07 -0.433554140851588
2.60556479423402e-07 -0.433400757407353
